date,close,rsi2,sma_trend,above_trend,position,action
2026-07-10,754.9500122070312,86.41425895052375,691.0943334960938,True,0.0,
2026-07-13,749.1699829101562,35.28789808378188,691.5513778686524,True,0.0,
2026-07-14,751.8300170898438,58.10324345303988,692.0321911621094,True,0.0,
2026-07-15,754.8099975585938,76.59329254901287,692.5430264282227,True,0.0,
2026-07-16,750.719970703125,34.63509680968858,693.0147164916992,True,0.0,
2026-07-17,743.2899780273438,11.582486836614365,693.4400329589844,True,0.0,
2026-07-20,742.0900268554688,9.53302586562728,693.846950378418,True,1.0,ENTER
2026-07-21,748.280029296875,67.9825899608921,694.2735629272461,True,1.0,
2026-07-22,747.4099731445312,57.533092833335175,694.692007446289,True,1.0,
2026-07-23,738.1799926757812,13.501528439055264,695.0643511962891,True,1.0,
2026-07-24,738.9299926757812,23.06980470951644,695.4285440063477,True,1.0,
2026-07-27,739.0900268554688,24.843756537293984,695.4293447875976,True,1.0,
2026-07-28,740.8599853515625,63.21620150853966,696.1722882080078,True,1.0,
2026-07-29,729.4600219726562,8.506436370320472,696.4913623046875,True,1.0,
2026-07-30,741.6900024414062,67.97454208726239,696.9615420532226,True,1.0,
2026-07-31,747.030029296875,79.5703695617171,697.4087326049805,True,0.0,EXIT
2026-08-03,757.6699829101562,91.63709975888304,697.9131387329102,True,0.0,
2026-08-04,771.3300170898438,96.67690565510124,698.4712667846679,True,0.0,
2026-08-05,769.7899780273438,85.11163563178893,699.0441580200195,True,0.0,
2026-08-06,768.5599975585938,71.45715380792419,699.5923040771485,True,0.0,
2026-08-07,773.260009765625,87.17794970818726,700.1296844482422,True,0.0,
2026-08-10,773.030029296875,82.71927356393368,700.6659631347657,True,0.0,
2026-08-11,770.5599975585938,39.41634812655792,701.2072015380859,True,0.0,
2026-08-12,772.489990234375,66.67705194762863,701.7384475708008,True,0.0,
2026-08-13,777.8800048828125,90.51522439093958,702.2694232177735,True,0.0,
2026-08-14,776.3400268554688,64.25102460951648,702.7530764770507,True,0.0,
2026-08-17,772.6699829101562,26.961987111486792,703.2093515014649,True,0.0,
2026-08-18,767.4500122070312,10.170776290475589,703.6378921508789,True,0.0,
2026-08-19,769.0599975585938,35.102070083076654,704.1119723510742,True,0.0,
2026-08-20,762.5999755859375,10.8767697279863,704.5426959228515,True,0.0,
